model,dataset,feature,layer,neuron,test_mcc,test_f1_score,test_precision,test_recall,coef
pythia-2.8b,natural_lang_id.pyth.512.-1,el,8,1793,1.0,1.0,1.0,1.0,23.34855
pythia-2.8b,natural_lang_id.pyth.512.-1,el,8,8397,1.0,1.0,1.0,1.0,26.30069
pythia-2.8b,natural_lang_id.pyth.512.-1,el,8,8769,1.0,1.0,1.0,1.0,24.442892
pythia-2.8b,natural_lang_id.pyth.512.-1,el,9,1704,1.0,1.0,1.0,1.0,47.06704
pythia-2.8b,natural_lang_id.pyth.512.-1,el,9,2127,1.0,1.0,1.0,1.0,40.404728
pythia-2.8b,natural_lang_id.pyth.512.-1,el,9,2516,1.0,1.0,1.0,1.0,46.08874
pythia-2.8b,natural_lang_id.pyth.512.-1,el,9,8117,1.0,1.0,1.0,1.0,41.26457
pythia-2.8b,natural_lang_id.pyth.512.-1,el,9,8624,1.0,1.0,1.0,1.0,24.444231
pythia-2.8b,natural_lang_id.pyth.512.-1,el,14,8052,1.0,1.0,1.0,1.0,33.69147
pythia-2.8b,natural_lang_id.pyth.512.-1,el,15,5200,1.0,1.0,1.0,1.0,44.37165
pythia-2.8b,natural_lang_id.pyth.512.-1,el,16,6231,1.0,1.0,1.0,1.0,43.53206
pythia-2.8b,natural_lang_id.pyth.512.-1,en,1,3935,1.0,1.0,1.0,1.0,-67.99716
pythia-2.8b,natural_lang_id.pyth.512.-1,el,31,5936,1.0,1.0,1.0,1.0,7.5782394
pythia-2.8b,natural_lang_id.pyth.512.-1,el,31,6397,1.0,1.0,1.0,1.0,23.000618
pythia-2.8b,natural_lang_id.pyth.512.-1,el,31,6978,1.0,1.0,1.0,1.0,17.216373
pythia-2.8b,natural_lang_id.pyth.512.-1,el,31,7496,1.0,1.0,1.0,1.0,15.115614
pythia-2.8b,natural_lang_id.pyth.512.-1,el,31,8191,1.0,1.0,1.0,1.0,30.314896
pythia-2.8b,natural_lang_id.pyth.512.-1,el,31,8316,1.0,1.0,1.0,1.0,8.56439
pythia-2.8b,natural_lang_id.pyth.512.-1,el,31,8768,1.0,1.0,1.0,1.0,19.53271
pythia-2.8b,natural_lang_id.pyth.512.-1,el,31,9685,1.0,1.0,1.0,1.0,8.942834
pythia-2.8b,natural_lang_id.pyth.512.-1,en,0,9281,1.0,1.0,1.0,1.0,23.923609
pythia-2.8b,natural_lang_id.pyth.512.-1,en,1,5711,1.0,1.0,1.0,1.0,68.04889
pythia-2.8b,natural_lang_id.pyth.512.-1,el,20,9652,1.0,1.0,1.0,1.0,46.578278
pythia-2.8b,natural_lang_id.pyth.512.-1,en,1,8603,1.0,1.0,1.0,1.0,64.268585
pythia-2.8b,natural_lang_id.pyth.512.-1,en,12,557,1.0,1.0,1.0,1.0,-26.61645
pythia-2.8b,natural_lang_id.pyth.512.-1,en,14,3878,1.0,1.0,1.0,1.0,-19.620134
pythia-2.8b,natural_lang_id.pyth.512.-1,en,22,5821,1.0,1.0,1.0,1.0,-16.684462
pythia-2.8b,natural_lang_id.pyth.512.-1,en,24,78,1.0,1.0,1.0,1.0,4.0824184
pythia-2.8b,natural_lang_id.pyth.512.-1,en,24,7489,1.0,1.0,1.0,1.0,-23.834558
pythia-2.8b,natural_lang_id.pyth.512.-1,en,25,7059,1.0,1.0,1.0,1.0,29.114346
pythia-2.8b,natural_lang_id.pyth.512.-1,en,26,6012,1.0,1.0,1.0,1.0,10.195358
pythia-2.8b,natural_lang_id.pyth.512.-1,en,26,7976,1.0,1.0,1.0,1.0,16.056469
pythia-2.8b,natural_lang_id.pyth.512.-1,el,31,5639,1.0,1.0,1.0,1.0,31.965542
pythia-2.8b,natural_lang_id.pyth.512.-1,el,31,3399,1.0,1.0,1.0,1.0,27.519428
pythia-2.8b,natural_lang_id.pyth.512.-1,el,31,2864,1.0,1.0,1.0,1.0,4.6390524
pythia-2.8b,natural_lang_id.pyth.512.-1,el,31,2203,1.0,1.0,1.0,1.0,19.59745
pythia-2.8b,natural_lang_id.pyth.512.-1,el,23,740,1.0,1.0,1.0,1.0,26.682398
pythia-2.8b,natural_lang_id.pyth.512.-1,el,28,929,1.0,1.0,1.0,1.0,34.171196
pythia-2.8b,natural_lang_id.pyth.512.-1,el,28,8567,1.0,1.0,1.0,1.0,7.7989554
pythia-2.8b,natural_lang_id.pyth.512.-1,el,28,9752,1.0,1.0,1.0,1.0,29.88373
pythia-2.8b,natural_lang_id.pyth.512.-1,el,28,10124,1.0,1.0,1.0,1.0,26.193478
