model,dataset,feature,layer,neuron,test_mcc,test_f1_score,test_precision,test_recall,coef
pythia-1.4b,programming_lang_id.pyth.512.-1,Go,3,2283,0.922738679005349,0.9312169312169312,0.9617486338797814,0.9025641025641026,24.351988
pythia-1.4b,programming_lang_id.pyth.512.-1,Go,3,7498,0.9164561057508183,0.9251336898395721,0.9664804469273743,0.8871794871794871,20.333618
pythia-1.4b,programming_lang_id.pyth.512.-1,Go,3,2845,0.9101450455578508,0.9184782608695652,0.976878612716763,0.8666666666666667,20.101728
pythia-1.4b,natural_lang_id.pyth.512.-1,it,23,122,1.0,1.0,1.0,1.0,22.699524
pythia-1.4b,natural_lang_id.pyth.512.-1,it,22,4685,1.0,1.0,1.0,1.0,24.447681
pythia-1.4b,natural_lang_id.pyth.512.-1,it,22,5219,1.0,1.0,1.0,1.0,18.391914
pythia-1.4b,natural_lang_id.pyth.512.-1,it,22,5506,1.0,1.0,1.0,1.0,21.566847
pythia-1.4b,natural_lang_id.pyth.512.-1,it,22,6770,1.0,1.0,1.0,1.0,19.16225
pythia-1.4b,natural_lang_id.pyth.512.-1,it,22,6840,1.0,1.0,1.0,1.0,18.691378
pythia-1.4b,natural_lang_id.pyth.512.-1,it,22,6923,1.0,1.0,1.0,1.0,23.724491
pythia-1.4b,natural_lang_id.pyth.512.-1,it,22,7297,1.0,1.0,1.0,1.0,29.74375
pythia-1.4b,natural_lang_id.pyth.512.-1,it,22,8096,1.0,1.0,1.0,1.0,21.538889
pythia-1.4b,natural_lang_id.pyth.512.-1,it,23,72,1.0,1.0,1.0,1.0,21.632952
pythia-1.4b,natural_lang_id.pyth.512.-1,it,23,504,1.0,1.0,1.0,1.0,29.038721
pythia-1.4b,natural_lang_id.pyth.512.-1,it,22,3674,1.0,1.0,1.0,1.0,18.947151
pythia-1.4b,natural_lang_id.pyth.512.-1,it,23,2592,1.0,1.0,1.0,1.0,27.839718
pythia-1.4b,natural_lang_id.pyth.512.-1,it,23,3864,1.0,1.0,1.0,1.0,22.950106
pythia-1.4b,natural_lang_id.pyth.512.-1,it,23,5663,1.0,1.0,1.0,1.0,14.597535
pythia-1.4b,natural_lang_id.pyth.512.-1,it,23,6393,1.0,1.0,1.0,1.0,34.044807
pythia-1.4b,natural_lang_id.pyth.512.-1,it,23,6557,1.0,1.0,1.0,1.0,17.320658
pythia-1.4b,natural_lang_id.pyth.512.-1,it,23,6601,1.0,1.0,1.0,1.0,27.090006
pythia-1.4b,natural_lang_id.pyth.512.-1,it,23,6699,1.0,1.0,1.0,1.0,15.926968
pythia-1.4b,natural_lang_id.pyth.512.-1,it,23,6955,1.0,1.0,1.0,1.0,21.95384
pythia-1.4b,natural_lang_id.pyth.512.-1,nl,1,5090,1.0,1.0,1.0,1.0,49.33995
pythia-1.4b,natural_lang_id.pyth.512.-1,it,22,3842,1.0,1.0,1.0,1.0,26.256983
pythia-1.4b,natural_lang_id.pyth.512.-1,it,22,3632,1.0,1.0,1.0,1.0,30.376036
pythia-1.4b,natural_lang_id.pyth.512.-1,it,21,6131,1.0,1.0,1.0,1.0,31.829243
pythia-1.4b,natural_lang_id.pyth.512.-1,it,21,3138,1.0,1.0,1.0,1.0,26.955095
pythia-1.4b,natural_lang_id.pyth.512.-1,it,21,3565,1.0,1.0,1.0,1.0,12.138231
pythia-1.4b,natural_lang_id.pyth.512.-1,it,21,3648,1.0,1.0,1.0,1.0,18.087523
pythia-1.4b,natural_lang_id.pyth.512.-1,it,21,4707,1.0,1.0,1.0,1.0,18.880342
pythia-1.4b,natural_lang_id.pyth.512.-1,it,21,5061,1.0,1.0,1.0,1.0,27.459894
pythia-1.4b,natural_lang_id.pyth.512.-1,it,21,5553,1.0,1.0,1.0,1.0,18.88708
pythia-1.4b,natural_lang_id.pyth.512.-1,it,21,5604,1.0,1.0,1.0,1.0,42.47467
pythia-1.4b,natural_lang_id.pyth.512.-1,it,21,5819,1.0,1.0,1.0,1.0,18.722593
pythia-1.4b,natural_lang_id.pyth.512.-1,it,21,5828,1.0,1.0,1.0,1.0,22.38616
pythia-1.4b,natural_lang_id.pyth.512.-1,it,21,6251,1.0,1.0,1.0,1.0,17.114786
pythia-1.4b,natural_lang_id.pyth.512.-1,it,22,3366,1.0,1.0,1.0,1.0,22.800186
pythia-1.4b,natural_lang_id.pyth.512.-1,it,21,6601,1.0,1.0,1.0,1.0,17.880682
pythia-1.4b,natural_lang_id.pyth.512.-1,it,21,7678,1.0,1.0,1.0,1.0,21.610079
pythia-1.4b,natural_lang_id.pyth.512.-1,it,21,7741,1.0,1.0,1.0,1.0,26.42
pythia-1.4b,natural_lang_id.pyth.512.-1,it,22,1369,1.0,1.0,1.0,1.0,19.636019
pythia-1.4b,natural_lang_id.pyth.512.-1,it,22,1464,1.0,1.0,1.0,1.0,15.922594
pythia-1.4b,natural_lang_id.pyth.512.-1,it,22,2317,1.0,1.0,1.0,1.0,33.381187
pythia-1.4b,natural_lang_id.pyth.512.-1,it,22,2321,1.0,1.0,1.0,1.0,25.114855
pythia-1.4b,natural_lang_id.pyth.512.-1,it,22,2671,1.0,1.0,1.0,1.0,18.059319
pythia-1.4b,natural_lang_id.pyth.512.-1,it,22,2983,1.0,1.0,1.0,1.0,19.897356
pythia-1.4b,natural_lang_id.pyth.512.-1,nl,2,1191,1.0,1.0,1.0,1.0,37.774227
pythia-1.4b,natural_lang_id.pyth.512.-1,nl,3,221,1.0,1.0,1.0,1.0,52.57919
pythia-1.4b,natural_lang_id.pyth.512.-1,nl,3,718,1.0,1.0,1.0,1.0,47.71976
pythia-1.4b,natural_lang_id.pyth.512.-1,nl,22,3710,1.0,1.0,1.0,1.0,20.518002
pythia-1.4b,natural_lang_id.pyth.512.-1,nl,20,7278,1.0,1.0,1.0,1.0,20.649927
pythia-1.4b,natural_lang_id.pyth.512.-1,nl,21,8,1.0,1.0,1.0,1.0,21.168396
pythia-1.4b,natural_lang_id.pyth.512.-1,nl,21,1352,1.0,1.0,1.0,1.0,20.255774
pythia-1.4b,natural_lang_id.pyth.512.-1,nl,21,1950,1.0,1.0,1.0,1.0,24.717382
pythia-1.4b,natural_lang_id.pyth.512.-1,nl,21,2683,1.0,1.0,1.0,1.0,25.297823
pythia-1.4b,natural_lang_id.pyth.512.-1,nl,21,4077,1.0,1.0,1.0,1.0,20.008873
pythia-1.4b,natural_lang_id.pyth.512.-1,nl,21,7783,1.0,1.0,1.0,1.0,22.320797
pythia-1.4b,natural_lang_id.pyth.512.-1,nl,22,594,1.0,1.0,1.0,1.0,25.731657
pythia-1.4b,natural_lang_id.pyth.512.-1,nl,22,1164,1.0,1.0,1.0,1.0,22.695442
pythia-1.4b,natural_lang_id.pyth.512.-1,nl,22,3838,1.0,1.0,1.0,1.0,25.828495
pythia-1.4b,natural_lang_id.pyth.512.-1,nl,3,2674,1.0,1.0,1.0,1.0,42.891327
pythia-1.4b,natural_lang_id.pyth.512.-1,nl,22,4180,1.0,1.0,1.0,1.0,16.334827
pythia-1.4b,natural_lang_id.pyth.512.-1,nl,22,4976,1.0,1.0,1.0,1.0,21.671867
pythia-1.4b,natural_lang_id.pyth.512.-1,nl,22,6188,1.0,1.0,1.0,1.0,29.6146
pythia-1.4b,natural_lang_id.pyth.512.-1,nl,23,1025,1.0,1.0,1.0,1.0,24.303534
pythia-1.4b,natural_lang_id.pyth.512.-1,nl,23,2444,1.0,1.0,1.0,1.0,29.95832
pythia-1.4b,natural_lang_id.pyth.512.-1,nl,23,2716,1.0,1.0,1.0,1.0,32.946247
pythia-1.4b,natural_lang_id.pyth.512.-1,nl,23,4721,1.0,1.0,1.0,1.0,21.748028
pythia-1.4b,natural_lang_id.pyth.512.-1,nl,23,5544,1.0,1.0,1.0,1.0,17.139292
pythia-1.4b,natural_lang_id.pyth.512.-1,pt,2,3741,1.0,1.0,1.0,1.0,46.81116
pythia-1.4b,natural_lang_id.pyth.512.-1,nl,20,5450,1.0,1.0,1.0,1.0,22.528791
pythia-1.4b,natural_lang_id.pyth.512.-1,nl,20,2686,1.0,1.0,1.0,1.0,22.7927
pythia-1.4b,natural_lang_id.pyth.512.-1,nl,20,1998,1.0,1.0,1.0,1.0,19.197426
pythia-1.4b,natural_lang_id.pyth.512.-1,nl,20,358,1.0,1.0,1.0,1.0,19.438036
pythia-1.4b,natural_lang_id.pyth.512.-1,nl,3,7647,1.0,1.0,1.0,1.0,47.92261
