model,dataset,feature,layer,neuron,test_mcc,test_f1_score,test_precision,test_recall,coef
pythia-410m,natural_lang_id.pyth.512.-1,el,5,1853,1.0,1.0,1.0,1.0,46.69425
pythia-410m,natural_lang_id.pyth.512.-1,el,5,126,1.0,1.0,1.0,1.0,47.785645
pythia-410m,natural_lang_id.pyth.512.-1,el,5,139,1.0,1.0,1.0,1.0,52.397167
pythia-410m,natural_lang_id.pyth.512.-1,el,5,187,1.0,1.0,1.0,1.0,39.704803
pythia-410m,natural_lang_id.pyth.512.-1,el,5,319,1.0,1.0,1.0,1.0,37.261696
pythia-410m,natural_lang_id.pyth.512.-1,el,5,385,1.0,1.0,1.0,1.0,32.294735
pythia-410m,natural_lang_id.pyth.512.-1,el,5,425,1.0,1.0,1.0,1.0,33.336315
pythia-410m,natural_lang_id.pyth.512.-1,el,5,1501,1.0,1.0,1.0,1.0,40.53379
pythia-410m,natural_lang_id.pyth.512.-1,el,5,1735,1.0,1.0,1.0,1.0,39.70839
pythia-410m,natural_lang_id.pyth.512.-1,el,5,1836,1.0,1.0,1.0,1.0,43.232574
pythia-410m,natural_lang_id.pyth.512.-1,el,5,1901,1.0,1.0,1.0,1.0,47.889984
pythia-410m,natural_lang_id.pyth.512.-1,el,4,3456,1.0,1.0,1.0,1.0,34.50349
pythia-410m,natural_lang_id.pyth.512.-1,el,5,1937,1.0,1.0,1.0,1.0,46.407276
pythia-410m,natural_lang_id.pyth.512.-1,el,5,1992,1.0,1.0,1.0,1.0,28.897741
pythia-410m,natural_lang_id.pyth.512.-1,el,5,2306,1.0,1.0,1.0,1.0,41.471916
pythia-410m,natural_lang_id.pyth.512.-1,el,5,2403,1.0,1.0,1.0,1.0,31.832232
pythia-410m,natural_lang_id.pyth.512.-1,el,5,2903,1.0,1.0,1.0,1.0,31.518196
pythia-410m,natural_lang_id.pyth.512.-1,el,5,3016,1.0,1.0,1.0,1.0,40.480244
pythia-410m,natural_lang_id.pyth.512.-1,el,5,3748,1.0,1.0,1.0,1.0,31.903912
pythia-410m,natural_lang_id.pyth.512.-1,el,5,4028,1.0,1.0,1.0,1.0,44.533146
pythia-410m,natural_lang_id.pyth.512.-1,el,6,129,1.0,1.0,1.0,1.0,31.254646
pythia-410m,natural_lang_id.pyth.512.-1,el,4,3696,1.0,1.0,1.0,1.0,29.202297
pythia-410m,natural_lang_id.pyth.512.-1,el,4,2786,1.0,1.0,1.0,1.0,50.027607
pythia-410m,natural_lang_id.pyth.512.-1,de,15,3846,1.0,1.0,1.0,1.0,18.864542
pythia-410m,natural_lang_id.pyth.512.-1,el,3,2480,1.0,1.0,1.0,1.0,40.96179
pythia-410m,natural_lang_id.pyth.512.-1,el,2,3128,1.0,1.0,1.0,1.0,25.020035
pythia-410m,natural_lang_id.pyth.512.-1,el,2,3323,1.0,1.0,1.0,1.0,53.3141
pythia-410m,natural_lang_id.pyth.512.-1,el,2,3329,1.0,1.0,1.0,1.0,26.612593
pythia-410m,natural_lang_id.pyth.512.-1,el,2,3578,1.0,1.0,1.0,1.0,48.47986
pythia-410m,natural_lang_id.pyth.512.-1,el,3,4,1.0,1.0,1.0,1.0,54.054245
pythia-410m,natural_lang_id.pyth.512.-1,el,3,293,1.0,1.0,1.0,1.0,32.382206
pythia-410m,natural_lang_id.pyth.512.-1,el,3,367,1.0,1.0,1.0,1.0,34.87342
pythia-410m,natural_lang_id.pyth.512.-1,el,3,2237,1.0,1.0,1.0,1.0,35.583595
pythia-410m,natural_lang_id.pyth.512.-1,el,3,2453,1.0,1.0,1.0,1.0,61.055332
pythia-410m,natural_lang_id.pyth.512.-1,el,3,2948,1.0,1.0,1.0,1.0,46.782333
pythia-410m,natural_lang_id.pyth.512.-1,el,4,2624,1.0,1.0,1.0,1.0,35.5585
pythia-410m,natural_lang_id.pyth.512.-1,el,3,3028,1.0,1.0,1.0,1.0,29.06531
pythia-410m,natural_lang_id.pyth.512.-1,el,3,3496,1.0,1.0,1.0,1.0,46.54543
pythia-410m,natural_lang_id.pyth.512.-1,el,4,286,1.0,1.0,1.0,1.0,40.92285
pythia-410m,natural_lang_id.pyth.512.-1,el,4,345,1.0,1.0,1.0,1.0,50.167995
pythia-410m,natural_lang_id.pyth.512.-1,el,4,480,1.0,1.0,1.0,1.0,27.677046
pythia-410m,natural_lang_id.pyth.512.-1,el,4,2131,1.0,1.0,1.0,1.0,41.012054
pythia-410m,natural_lang_id.pyth.512.-1,el,4,2157,1.0,1.0,1.0,1.0,37.356636
pythia-410m,natural_lang_id.pyth.512.-1,el,4,2159,1.0,1.0,1.0,1.0,22.656425
pythia-410m,natural_lang_id.pyth.512.-1,el,4,2387,1.0,1.0,1.0,1.0,39.275734
pythia-410m,natural_lang_id.pyth.512.-1,el,6,943,1.0,1.0,1.0,1.0,47.755344
pythia-410m,natural_lang_id.pyth.512.-1,el,6,1621,1.0,1.0,1.0,1.0,43.996075
pythia-410m,natural_lang_id.pyth.512.-1,el,6,2075,1.0,1.0,1.0,1.0,49.71648
pythia-410m,natural_lang_id.pyth.512.-1,el,11,882,1.0,1.0,1.0,1.0,23.302822
pythia-410m,natural_lang_id.pyth.512.-1,el,9,2930,1.0,1.0,1.0,1.0,38.636715
pythia-410m,natural_lang_id.pyth.512.-1,el,9,3113,1.0,1.0,1.0,1.0,34.96519
pythia-410m,natural_lang_id.pyth.512.-1,el,10,1909,1.0,1.0,1.0,1.0,28.985907
pythia-410m,natural_lang_id.pyth.512.-1,el,10,2369,1.0,1.0,1.0,1.0,37.494793
pythia-410m,natural_lang_id.pyth.512.-1,el,10,2457,1.0,1.0,1.0,1.0,27.446983
pythia-410m,natural_lang_id.pyth.512.-1,el,10,2526,1.0,1.0,1.0,1.0,43.28103
pythia-410m,natural_lang_id.pyth.512.-1,el,10,3081,1.0,1.0,1.0,1.0,25.00542
pythia-410m,natural_lang_id.pyth.512.-1,el,10,3291,1.0,1.0,1.0,1.0,33.939053
pythia-410m,natural_lang_id.pyth.512.-1,el,11,868,1.0,1.0,1.0,1.0,30.735807
pythia-410m,natural_lang_id.pyth.512.-1,el,11,1551,1.0,1.0,1.0,1.0,28.025099
pythia-410m,natural_lang_id.pyth.512.-1,el,6,2441,1.0,1.0,1.0,1.0,39.817898
pythia-410m,natural_lang_id.pyth.512.-1,el,11,2543,1.0,1.0,1.0,1.0,26.559856
pythia-410m,natural_lang_id.pyth.512.-1,el,11,3289,1.0,1.0,1.0,1.0,26.995754
pythia-410m,natural_lang_id.pyth.512.-1,el,12,93,1.0,1.0,1.0,1.0,35.127937
pythia-410m,natural_lang_id.pyth.512.-1,el,12,971,1.0,1.0,1.0,1.0,31.61823
pythia-410m,natural_lang_id.pyth.512.-1,el,12,1148,1.0,1.0,1.0,1.0,27.554512
pythia-410m,natural_lang_id.pyth.512.-1,el,12,1438,1.0,1.0,1.0,1.0,40.302853
pythia-410m,natural_lang_id.pyth.512.-1,el,12,1817,1.0,1.0,1.0,1.0,43.886253
pythia-410m,natural_lang_id.pyth.512.-1,el,12,1970,1.0,1.0,1.0,1.0,45.21576
pythia-410m,natural_lang_id.pyth.512.-1,el,12,2523,1.0,1.0,1.0,1.0,36.01121
pythia-410m,natural_lang_id.pyth.512.-1,el,9,2671,1.0,1.0,1.0,1.0,42.30666
pythia-410m,natural_lang_id.pyth.512.-1,el,9,52,1.0,1.0,1.0,1.0,29.576197
pythia-410m,natural_lang_id.pyth.512.-1,el,8,4013,1.0,1.0,1.0,1.0,31.604845
pythia-410m,natural_lang_id.pyth.512.-1,el,8,3975,1.0,1.0,1.0,1.0,32.19688
pythia-410m,natural_lang_id.pyth.512.-1,el,6,2510,1.0,1.0,1.0,1.0,44.76407
pythia-410m,natural_lang_id.pyth.512.-1,el,6,2608,1.0,1.0,1.0,1.0,33.817513
pythia-410m,natural_lang_id.pyth.512.-1,el,6,3882,1.0,1.0,1.0,1.0,38.814007
pythia-410m,natural_lang_id.pyth.512.-1,el,7,156,1.0,1.0,1.0,1.0,30.622526
pythia-410m,natural_lang_id.pyth.512.-1,el,7,1304,1.0,1.0,1.0,1.0,45.499645
pythia-410m,natural_lang_id.pyth.512.-1,el,7,1366,1.0,1.0,1.0,1.0,28.33292
pythia-410m,natural_lang_id.pyth.512.-1,el,7,1661,1.0,1.0,1.0,1.0,22.676765
pythia-410m,natural_lang_id.pyth.512.-1,el,7,2117,1.0,1.0,1.0,1.0,48.055622
pythia-410m,natural_lang_id.pyth.512.-1,el,7,2632,1.0,1.0,1.0,1.0,46.528675
pythia-410m,natural_lang_id.pyth.512.-1,el,7,3357,1.0,1.0,1.0,1.0,25.840176
pythia-410m,natural_lang_id.pyth.512.-1,el,7,3752,1.0,1.0,1.0,1.0,46.423965
pythia-410m,natural_lang_id.pyth.512.-1,el,8,230,1.0,1.0,1.0,1.0,37.781082
pythia-410m,natural_lang_id.pyth.512.-1,el,8,1007,1.0,1.0,1.0,1.0,17.911972
pythia-410m,natural_lang_id.pyth.512.-1,el,8,1226,1.0,1.0,1.0,1.0,25.133644
pythia-410m,natural_lang_id.pyth.512.-1,el,8,2142,1.0,1.0,1.0,1.0,32.21342
pythia-410m,natural_lang_id.pyth.512.-1,el,8,2807,1.0,1.0,1.0,1.0,41.454094
pythia-410m,natural_lang_id.pyth.512.-1,el,8,3054,1.0,1.0,1.0,1.0,37.30697
pythia-410m,natural_lang_id.pyth.512.-1,el,8,3349,1.0,1.0,1.0,1.0,41.01292
pythia-410m,natural_lang_id.pyth.512.-1,el,8,3927,1.0,1.0,1.0,1.0,42.148933
pythia-410m,natural_lang_id.pyth.512.-1,el,2,2998,1.0,1.0,1.0,1.0,43.71505
pythia-410m,natural_lang_id.pyth.512.-1,el,2,2567,1.0,1.0,1.0,1.0,46.43207
pythia-410m,natural_lang_id.pyth.512.-1,el,2,1770,1.0,1.0,1.0,1.0,35.7699
pythia-410m,natural_lang_id.pyth.512.-1,de,21,2512,1.0,1.0,1.0,1.0,24.103537
pythia-410m,natural_lang_id.pyth.512.-1,de,20,2110,1.0,1.0,1.0,1.0,27.6071
