model,dataset,feature,layer,neuron,test_mcc,test_f1_score,test_precision,test_recall,coef
pythia-1b,natural_lang_id.pyth.512.-1,it,15,5411,1.0,1.0,1.0,1.0,15.444606
pythia-1b,natural_lang_id.pyth.512.-1,it,15,4571,1.0,1.0,1.0,1.0,16.186535
pythia-1b,natural_lang_id.pyth.512.-1,it,13,7501,1.0,1.0,1.0,1.0,23.056316
pythia-1b,natural_lang_id.pyth.512.-1,it,14,760,1.0,1.0,1.0,1.0,22.088459
pythia-1b,natural_lang_id.pyth.512.-1,it,14,1576,1.0,1.0,1.0,1.0,18.079346
pythia-1b,natural_lang_id.pyth.512.-1,it,14,1959,1.0,1.0,1.0,1.0,14.939125
pythia-1b,natural_lang_id.pyth.512.-1,it,14,2329,1.0,1.0,1.0,1.0,18.380136
pythia-1b,natural_lang_id.pyth.512.-1,it,14,2610,1.0,1.0,1.0,1.0,18.554844
pythia-1b,natural_lang_id.pyth.512.-1,it,14,2744,1.0,1.0,1.0,1.0,25.697903
pythia-1b,natural_lang_id.pyth.512.-1,it,14,2812,1.0,1.0,1.0,1.0,21.518927
pythia-1b,natural_lang_id.pyth.512.-1,it,14,3320,1.0,1.0,1.0,1.0,15.423854
pythia-1b,natural_lang_id.pyth.512.-1,it,14,3646,1.0,1.0,1.0,1.0,16.999046
pythia-1b,natural_lang_id.pyth.512.-1,it,14,5876,1.0,1.0,1.0,1.0,14.665054
pythia-1b,natural_lang_id.pyth.512.-1,it,14,6603,1.0,1.0,1.0,1.0,19.100403
pythia-1b,natural_lang_id.pyth.512.-1,it,14,7942,1.0,1.0,1.0,1.0,17.08482
pythia-1b,natural_lang_id.pyth.512.-1,it,15,449,1.0,1.0,1.0,1.0,16.133709
pythia-1b,natural_lang_id.pyth.512.-1,it,15,1139,1.0,1.0,1.0,1.0,16.034262
pythia-1b,natural_lang_id.pyth.512.-1,it,15,1784,1.0,1.0,1.0,1.0,17.50492
pythia-1b,natural_lang_id.pyth.512.-1,it,15,1796,1.0,1.0,1.0,1.0,17.081512
pythia-1b,natural_lang_id.pyth.512.-1,it,15,3014,1.0,1.0,1.0,1.0,17.863365
pythia-1b,natural_lang_id.pyth.512.-1,it,15,3046,1.0,1.0,1.0,1.0,15.560197
pythia-1b,natural_lang_id.pyth.512.-1,nl,14,5951,1.0,1.0,1.0,1.0,14.004534
pythia-1b,natural_lang_id.pyth.512.-1,nl,15,2306,1.0,1.0,1.0,1.0,18.218498
pythia-1b,natural_lang_id.pyth.512.-1,sv,12,4681,1.0,1.0,1.0,1.0,26.16928
pythia-1b,natural_lang_id.pyth.512.-1,sv,10,6327,1.0,1.0,1.0,1.0,40.424164
pythia-1b,natural_lang_id.pyth.512.-1,sv,1,7944,1.0,1.0,1.0,1.0,39.73099
pythia-1b,natural_lang_id.pyth.512.-1,sv,1,8069,1.0,1.0,1.0,1.0,31.362265
pythia-1b,natural_lang_id.pyth.512.-1,sv,6,4186,1.0,1.0,1.0,1.0,6.1138396
pythia-1b,natural_lang_id.pyth.512.-1,sv,8,1615,1.0,1.0,1.0,1.0,46.69635
pythia-1b,natural_lang_id.pyth.512.-1,sv,9,586,1.0,1.0,1.0,1.0,6.2182665
pythia-1b,natural_lang_id.pyth.512.-1,sv,9,1508,1.0,1.0,1.0,1.0,4.810243
pythia-1b,natural_lang_id.pyth.512.-1,sv,10,2376,1.0,1.0,1.0,1.0,34.975857
pythia-1b,natural_lang_id.pyth.512.-1,sv,10,2655,1.0,1.0,1.0,1.0,30.51669
pythia-1b,natural_lang_id.pyth.512.-1,sv,10,3632,1.0,1.0,1.0,1.0,32.9985
pythia-1b,natural_lang_id.pyth.512.-1,sv,10,6395,1.0,1.0,1.0,1.0,42.74731
pythia-1b,natural_lang_id.pyth.512.-1,nl,15,2724,1.0,1.0,1.0,1.0,12.1846285
pythia-1b,natural_lang_id.pyth.512.-1,sv,10,7182,1.0,1.0,1.0,1.0,23.097437
pythia-1b,natural_lang_id.pyth.512.-1,sv,11,2779,1.0,1.0,1.0,1.0,4.7201777
pythia-1b,natural_lang_id.pyth.512.-1,sv,11,2807,1.0,1.0,1.0,1.0,35.934654
pythia-1b,natural_lang_id.pyth.512.-1,sv,11,3075,1.0,1.0,1.0,1.0,39.210896
pythia-1b,natural_lang_id.pyth.512.-1,sv,11,3520,1.0,1.0,1.0,1.0,37.194927
pythia-1b,natural_lang_id.pyth.512.-1,sv,11,4271,1.0,1.0,1.0,1.0,37.19525
pythia-1b,natural_lang_id.pyth.512.-1,sv,12,187,1.0,1.0,1.0,1.0,7.7827864
pythia-1b,natural_lang_id.pyth.512.-1,sv,12,3132,1.0,1.0,1.0,1.0,20.819397
pythia-1b,natural_lang_id.pyth.512.-1,sv,12,3951,1.0,1.0,1.0,1.0,19.83377
pythia-1b,natural_lang_id.pyth.512.-1,sv,1,7646,1.0,1.0,1.0,1.0,35.98387
pythia-1b,natural_lang_id.pyth.512.-1,sv,1,6100,1.0,1.0,1.0,1.0,39.19649
pythia-1b,natural_lang_id.pyth.512.-1,sv,1,5073,1.0,1.0,1.0,1.0,49.310898
pythia-1b,natural_lang_id.pyth.512.-1,sv,1,1294,1.0,1.0,1.0,1.0,23.70326
pythia-1b,natural_lang_id.pyth.512.-1,nl,15,2837,1.0,1.0,1.0,1.0,15.879588
pythia-1b,natural_lang_id.pyth.512.-1,nl,15,3630,1.0,1.0,1.0,1.0,14.683917
pythia-1b,natural_lang_id.pyth.512.-1,nl,15,5767,1.0,1.0,1.0,1.0,15.731233
pythia-1b,natural_lang_id.pyth.512.-1,nl,15,6071,1.0,1.0,1.0,1.0,13.468373
pythia-1b,natural_lang_id.pyth.512.-1,nl,15,6938,1.0,1.0,1.0,1.0,18.374237
pythia-1b,natural_lang_id.pyth.512.-1,nl,15,7907,1.0,1.0,1.0,1.0,26.25062
pythia-1b,natural_lang_id.pyth.512.-1,pt,12,593,1.0,1.0,1.0,1.0,4.4723163
pythia-1b,natural_lang_id.pyth.512.-1,pt,13,204,1.0,1.0,1.0,1.0,29.09868
