model,dataset,feature,layer,neuron,test_mcc,test_f1_score,test_precision,test_recall,coef
pythia-6.9b,compound_words.pyth.24.-1,prime-factors,1,13436,1.0,1.0,1.0,1.0,7.802417
pythia-6.9b,ewt.pyth.512.-1,Gender_Neut,1,10039,0.9986002655377855,0.9993069993069993,1.0,0.9986149584487535,-28.72773
pythia-6.9b,ewt.pyth.512.-1,Gender_Masc,12,13198,0.9969899449223362,0.998091603053435,1.0,0.9961904761904762,5.3458576
pythia-6.9b,ewt.pyth.512.-1,Person_2,3,14763,0.9923982683158656,0.9934823091247673,0.996265172735761,0.9907149489322191,9.878851
pythia-6.9b,ewt.pyth.512.-1,Gender_Fem,6,2461,0.990487351443806,0.9916434540389973,1.0,0.9834254143646409,7.983792
pythia-6.9b,compound_words.pyth.24.-1,social-media,1,161,0.9890271508199685,0.9913875598086124,0.9847908745247148,0.9980732177263969,8.166858
pythia-6.9b,ewt.pyth.512.-1,PronType_Art,15,7402,0.9891752833397418,0.9913333333333333,0.9880398671096345,0.9946488294314382,5.818185
pythia-6.9b,distribution_id.pyth.512.-1,uspto,8,1816,0.9893209927879815,0.990625,1.0,0.9814241486068112,13.036818
pythia-6.9b,compound_words.pyth.24.-1,social-security,3,5012,0.9845016059127869,0.9876033057851239,0.9815195071868583,0.9937629937629938,5.835648
pythia-6.9b,distribution_id.pyth.512.-1,arxiv,31,13649,0.9826337132679703,0.986351228389445,0.9963235294117647,0.9765765765765766,15.236027
pythia-6.9b,ewt.pyth.512.-1,Person_1,1,12980,0.979922434672582,0.9841269841269841,0.9958100558659218,0.9727148703956344,14.778206
pythia-6.9b,compound_words.pyth.24.-1,living-room,2,9409,0.9771823930080966,0.9813800657174151,0.9655172413793104,0.9977728285077951,7.2652826
pythia-6.9b,compound_words.pyth.24.-1,blood-pressure,3,8681,0.9759736945953528,0.9808274470232089,0.9681274900398407,0.9938650306748467,6.0155897
pythia-6.9b,compound_words.pyth.24.-1,public-health,2,8724,0.9739857896794315,0.9789029535864978,0.9606625258799172,0.9978494623655914,7.3576727
pythia-6.9b,ewt.pyth.512.-1,eos_True,20,170,0.9715225987589033,0.9772652388797364,0.971821756225426,0.9827700463883366,2.2323241
pythia-6.9b,distribution_id.pyth.512.-1,freelaw,14,12806,0.9710553525760423,0.9760348583877996,0.9977728285077951,0.9552238805970149,22.229414
pythia-6.9b,compound_words.pyth.24.-1,mental-health,2,797,0.9603596355665136,0.967741935483871,0.9393939393939394,0.9978540772532188,7.9518456
pythia-6.9b,compound_words.pyth.24.-1,side-effects,2,2265,0.9573617120723544,0.9652265542676502,0.9366053169734151,0.9956521739130435,6.277581
pythia-6.9b,compound_words.pyth.24.-1,human-rights,3,9943,0.9524227408061107,0.9624060150375939,0.9343065693430657,0.9922480620155039,7.102568
pythia-6.9b,compound_words.pyth.24.-1,high-school,3,1677,0.9505368449973144,0.9601634320735444,0.9343936381709742,0.9873949579831933,8.409512
pythia-6.9b,compound_words.pyth.24.-1,trial-court,2,2726,0.947114715944777,0.9575129533678756,0.9390243902439024,0.9767441860465116,7.5246363
pythia-6.9b,ewt.pyth.512.-1,Tense_Past,3,15279,0.9392607415477292,0.9540587219343696,0.9920977011494253,0.9188290086493679,9.565813
pythia-6.9b,distribution_id.pyth.512.-1,enron,17,15140,0.94834491091295,0.9510489510489512,0.9315068493150684,0.9714285714285714,14.508387
pythia-6.9b,ewt.pyth.512.-1,upos_PUNC,31,9485,0.9326532169739334,0.9460359760159893,0.9342105263157895,0.9581646423751687,3.4621794
pythia-6.9b,programming_lang_id.pyth.512.-1,Python,17,189,0.9362414450531128,0.9416058394160585,0.9485294117647058,0.9347826086956522,12.741243
