model,dataset,feature,layer,neuron,test_mcc,test_f1_score,test_precision,test_recall,coef
pythia-6.9b,programming_lang_id.pyth.512.-1,Python,17,189,0.9362414450531128,0.9416058394160585,0.9485294117647058,0.9347826086956522,12.741243
pythia-6.9b,programming_lang_id.pyth.512.-1,Java,16,12810,0.9073784870267303,0.922201138519924,0.9033457249070632,0.9418604651162791,10.201347
pythia-6.9b,programming_lang_id.pyth.512.-1,Python,27,1899,0.9059549284185683,0.9118773946360155,0.967479674796748,0.8623188405797102,18.308006
pythia-6.9b,natural_lang_id.pyth.512.-1,es,30,13960,1.0,1.0,1.0,1.0,23.652956
pythia-6.9b,natural_lang_id.pyth.512.-1,es,27,15791,1.0,1.0,1.0,1.0,24.877237
pythia-6.9b,natural_lang_id.pyth.512.-1,es,28,4720,1.0,1.0,1.0,1.0,25.479809
pythia-6.9b,natural_lang_id.pyth.512.-1,es,28,8615,1.0,1.0,1.0,1.0,29.965523
pythia-6.9b,natural_lang_id.pyth.512.-1,es,28,15422,1.0,1.0,1.0,1.0,25.024744
pythia-6.9b,natural_lang_id.pyth.512.-1,es,29,1662,1.0,1.0,1.0,1.0,19.278597
pythia-6.9b,natural_lang_id.pyth.512.-1,es,29,5841,1.0,1.0,1.0,1.0,16.09413
pythia-6.9b,natural_lang_id.pyth.512.-1,es,29,8166,1.0,1.0,1.0,1.0,18.147074
pythia-6.9b,natural_lang_id.pyth.512.-1,es,29,14625,1.0,1.0,1.0,1.0,25.436766
pythia-6.9b,natural_lang_id.pyth.512.-1,es,29,16211,1.0,1.0,1.0,1.0,23.381008
pythia-6.9b,natural_lang_id.pyth.512.-1,es,31,2017,1.0,1.0,1.0,1.0,27.087635
pythia-6.9b,natural_lang_id.pyth.512.-1,es,27,295,1.0,1.0,1.0,1.0,15.0994
pythia-6.9b,natural_lang_id.pyth.512.-1,es,31,6507,1.0,1.0,1.0,1.0,16.132395
pythia-6.9b,natural_lang_id.pyth.512.-1,es,31,14984,1.0,1.0,1.0,1.0,21.702463
pythia-6.9b,natural_lang_id.pyth.512.-1,fr,10,2504,1.0,1.0,1.0,1.0,41.77623
pythia-6.9b,natural_lang_id.pyth.512.-1,fr,16,4071,1.0,1.0,1.0,1.0,12.377629
pythia-6.9b,natural_lang_id.pyth.512.-1,fr,18,6849,1.0,1.0,1.0,1.0,4.6857233
pythia-6.9b,natural_lang_id.pyth.512.-1,fr,20,3750,1.0,1.0,1.0,1.0,18.609903
pythia-6.9b,natural_lang_id.pyth.512.-1,fr,21,4589,1.0,1.0,1.0,1.0,33.121086
pythia-6.9b,natural_lang_id.pyth.512.-1,fr,21,10838,1.0,1.0,1.0,1.0,3.068243
pythia-6.9b,natural_lang_id.pyth.512.-1,fr,22,813,1.0,1.0,1.0,1.0,30.00426
pythia-6.9b,natural_lang_id.pyth.512.-1,es,27,10914,1.0,1.0,1.0,1.0,26.94043
pythia-6.9b,natural_lang_id.pyth.512.-1,es,26,4526,1.0,1.0,1.0,1.0,22.966732
pythia-6.9b,natural_lang_id.pyth.512.-1,el,3,8471,1.0,1.0,1.0,1.0,38.873318
pythia-6.9b,natural_lang_id.pyth.512.-1,en,28,2003,1.0,1.0,1.0,1.0,29.285864
pythia-6.9b,natural_lang_id.pyth.512.-1,el,31,15892,1.0,1.0,1.0,1.0,11.994531
pythia-6.9b,natural_lang_id.pyth.512.-1,en,0,4983,1.0,1.0,1.0,1.0,34.887245
pythia-6.9b,natural_lang_id.pyth.512.-1,en,0,7206,1.0,1.0,1.0,1.0,30.600445
pythia-6.9b,natural_lang_id.pyth.512.-1,en,0,15777,1.0,1.0,1.0,1.0,29.06899
pythia-6.9b,natural_lang_id.pyth.512.-1,en,11,12471,1.0,1.0,1.0,1.0,-42.32203
pythia-6.9b,natural_lang_id.pyth.512.-1,en,13,11612,1.0,1.0,1.0,1.0,-10.924969
pythia-6.9b,natural_lang_id.pyth.512.-1,en,17,6704,1.0,1.0,1.0,1.0,-6.8959856
pythia-6.9b,natural_lang_id.pyth.512.-1,en,26,7967,1.0,1.0,1.0,1.0,14.61896
pythia-6.9b,natural_lang_id.pyth.512.-1,en,27,4220,1.0,1.0,1.0,1.0,23.898794
pythia-6.9b,natural_lang_id.pyth.512.-1,en,29,1216,1.0,1.0,1.0,1.0,10.26022
pythia-6.9b,natural_lang_id.pyth.512.-1,es,25,15623,1.0,1.0,1.0,1.0,9.511935
pythia-6.9b,natural_lang_id.pyth.512.-1,en,31,15465,1.0,1.0,1.0,1.0,18.032701
pythia-6.9b,natural_lang_id.pyth.512.-1,es,12,14721,1.0,1.0,1.0,1.0,7.5073986
