model,dataset,feature,layer,neuron,test_mcc,test_f1_score,coef
pythia-6.9b,wikidata_sex_or_gender.pyth.128.6000,female,12,4043,0.881,0.935,24.363
pythia-6.9b,wikidata_sex_or_gender.pyth.128.6000,female,12,13198,0.842,0.923,-21.535
pythia-6.9b,wikidata_sex_or_gender.pyth.128.6000,female,16,740,0.825,0.899,22.896
pythia-6.9b,wikidata_sex_or_gender.pyth.128.6000,male,12,4043,0.881,0.940,-24.368
pythia-6.9b,wikidata_sex_or_gender.pyth.128.6000,male,16,740,0.825,0.913,-22.893
pythia-6.9b,wikidata_sex_or_gender.pyth.128.6000,male,12,13198,0.842,0.912,21.537
pythia-6.9b,wikidata_political_party.pyth.128.1000,Democratic Party,21,1635,0.254,0.705,-2.864
pythia-6.9b,wikidata_political_party.pyth.128.1000,Democratic Party,11,926,0.242,0.694,-1.912
pythia-6.9b,wikidata_political_party.pyth.128.1000,Democratic Party,12,17,0.191,0.694,-2.649
pythia-6.9b,wikidata_political_party.pyth.128.1000,Republican Party,10,13715,0.273,0.675,-1.927
pythia-6.9b,wikidata_political_party.pyth.128.1000,Republican Party,20,14647,0.240,0.674,-2.945
pythia-6.9b,wikidata_political_party.pyth.128.1000,Republican Party,11,10862,0.249,0.673,-3.031
pythia-6.9b,wikidata_occupation.pyth.128.7000,actor,15,10563,0.419,0.498,6.878
pythia-6.9b,wikidata_occupation.pyth.128.7000,actor,14,11981,0.401,0.493,7.792
pythia-6.9b,wikidata_occupation.pyth.128.7000,actor,19,2285,0.392,0.482,7.465
pythia-6.9b,wikidata_occupation.pyth.128.7000,association football player,19,10761,0.503,0.514,8.975
pythia-6.9b,wikidata_occupation.pyth.128.7000,association football player,19,3514,0.427,0.499,8.460
pythia-6.9b,wikidata_occupation.pyth.128.7000,association football player,15,2298,0.424,0.498,8.290
pythia-6.9b,wikidata_occupation.pyth.128.7000,journalist,19,1710,0.385,0.464,6.046
pythia-6.9b,wikidata_occupation.pyth.128.7000,journalist,11,12221,0.364,0.456,7.099
pythia-6.9b,wikidata_occupation.pyth.128.7000,journalist,17,13622,0.347,0.442,5.380
pythia-6.9b,wikidata_occupation.pyth.128.7000,lawyer,14,9420,0.306,0.409,6.596
pythia-6.9b,wikidata_occupation.pyth.128.7000,lawyer,13,7311,0.274,0.389,5.130
pythia-6.9b,wikidata_occupation.pyth.128.7000,lawyer,18,15844,0.284,0.387,4.644
pythia-6.9b,wikidata_occupation.pyth.128.7000,politician,9,613,0.353,0.445,5.631
pythia-6.9b,wikidata_occupation.pyth.128.7000,politician,18,14947,0.335,0.432,5.303
pythia-6.9b,wikidata_occupation.pyth.128.7000,politician,14,9420,0.307,0.408,4.939
pythia-6.9b,wikidata_occupation.pyth.128.7000,researcher,12,11379,0.261,0.380,-8.497
pythia-6.9b,wikidata_occupation.pyth.128.7000,researcher,9,13692,0.225,0.359,-4.477
pythia-6.9b,wikidata_occupation.pyth.128.7000,researcher,14,6141,0.230,0.357,-5.373
pythia-6.9b,wikidata_occupation.pyth.128.7000,singer,11,12667,0.444,0.494,8.660
pythia-6.9b,wikidata_occupation.pyth.128.7000,singer,18,7612,0.424,0.493,8.375
pythia-6.9b,wikidata_occupation.pyth.128.7000,singer,23,8865,0.416,0.488,8.740
pythia-6.9b,wikidata_is_alive.pyth.128.6000,false,16,3376,0.482,0.768,-9.076
pythia-6.9b,wikidata_is_alive.pyth.128.6000,false,17,11166,0.450,0.752,-9.944
pythia-6.9b,wikidata_is_alive.pyth.128.6000,false,17,13178,0.412,0.744,-7.655
pythia-6.9b,wikidata_is_alive.pyth.128.6000,true,17,16123,0.463,0.758,-9.113
pythia-6.9b,wikidata_is_alive.pyth.128.6000,true,16,1880,0.451,0.755,-8.665
pythia-6.9b,wikidata_is_alive.pyth.128.6000,true,14,5036,0.423,0.745,-7.826
pythia-6.9b,wikidata_is_alive.pyth.128.2000,false,16,3376,0.493,0.761,-7.287
pythia-6.9b,wikidata_is_alive.pyth.128.2000,false,1,7775,0.485,0.754,-7.598
pythia-6.9b,wikidata_is_alive.pyth.128.2000,false,17,11166,0.443,0.738,-7.900
pythia-6.9b,wikidata_is_alive.pyth.128.2000,true,16,1880,0.458,0.770,-7.168
pythia-6.9b,wikidata_is_alive.pyth.128.2000,true,13,4251,0.456,0.769,-6.228
pythia-6.9b,wikidata_is_alive.pyth.128.2000,true,11,3979,0.445,0.766,-6.658
pythia-6.9b,wikidata_occupation_athlete.pyth.128.3000,American football player,20,10306,0.504,0.566,10.704
pythia-6.9b,wikidata_occupation_athlete.pyth.128.3000,American football player,14,4059,0.325,0.443,7.448
pythia-6.9b,wikidata_occupation_athlete.pyth.128.3000,American football player,25,6043,0.321,0.424,6.362
pythia-6.9b,wikidata_occupation_athlete.pyth.128.3000,association football player,19,10761,0.510,0.553,7.347
pythia-6.9b,wikidata_occupation_athlete.pyth.128.3000,association football player,20,5237,0.430,0.507,6.237
pythia-6.9b,wikidata_occupation_athlete.pyth.128.3000,association football player,10,6286,0.391,0.505,4.642
pythia-6.9b,wikidata_occupation_athlete.pyth.128.3000,baseball player,20,13139,0.549,0.619,10.424
pythia-6.9b,wikidata_occupation_athlete.pyth.128.3000,baseball player,19,549,0.524,0.596,8.761
pythia-6.9b,wikidata_occupation_athlete.pyth.128.3000,baseball player,21,16105,0.502,0.576,8.575
pythia-6.9b,wikidata_occupation_athlete.pyth.128.3000,basketball player,21,1348,0.287,0.389,4.962
pythia-6.9b,wikidata_occupation_athlete.pyth.128.3000,basketball player,21,3125,0.216,0.356,4.053
pythia-6.9b,wikidata_occupation_athlete.pyth.128.3000,basketball player,19,2490,0.265,0.355,5.719
pythia-6.9b,wikidata_occupation_athlete.pyth.128.3000,cricketer,20,6979,0.480,0.477,7.495
pythia-6.9b,wikidata_occupation_athlete.pyth.128.3000,cricketer,16,7058,0.291,0.400,7.341
pythia-6.9b,wikidata_occupation_athlete.pyth.128.3000,cricketer,24,10382,0.313,0.393,4.124
pythia-6.9b,wikidata_occupation_athlete.pyth.128.3000,ice hockey player,20,2367,0.632,0.685,10.371
pythia-6.9b,wikidata_occupation_athlete.pyth.128.3000,ice hockey player,21,5325,0.497,0.584,8.793
pythia-6.9b,wikidata_occupation_athlete.pyth.128.3000,ice hockey player,22,6129,0.480,0.578,9.072
pythia-6.9b,wikidata_full_political_party.pyth.128.1000,Democratic Party,21,1635,0.326,0.721,-4.613
pythia-6.9b,wikidata_full_political_party.pyth.128.1000,Democratic Party,25,165,0.316,0.712,-3.890
pythia-6.9b,wikidata_full_political_party.pyth.128.1000,Democratic Party,12,6765,0.273,0.697,-2.239
pythia-6.9b,wikidata_full_political_party.pyth.128.1000,Democratic Party,8,3492,0.254,0.696,-2.504
pythia-6.9b,wikidata_full_political_party.pyth.128.1000,Democratic Party,12,17,0.236,0.695,-3.499
pythia-6.9b,wikidata_full_political_party.pyth.128.1000,Republican Party,8,6609,0.338,0.711,-2.971
pythia-6.9b,wikidata_full_political_party.pyth.128.1000,Republican Party,20,14647,0.285,0.693,-4.235
pythia-6.9b,wikidata_full_political_party.pyth.128.1000,Republican Party,11,9311,0.267,0.691,-2.671
pythia-6.9b,wikidata_full_political_party.pyth.128.1000,Republican Party,13,2972,0.277,0.688,-4.174
pythia-6.9b,wikidata_full_political_party.pyth.128.1000,Republican Party,12,1491,0.244,0.687,-2.438
pythia-6.9b,wikidata_full_is_alive.pyth.128.2000,false,16,3376,0.539,0.791,-8.831
pythia-6.9b,wikidata_full_is_alive.pyth.128.2000,false,17,5653,0.550,0.791,-10.088
pythia-6.9b,wikidata_full_is_alive.pyth.128.2000,false,17,11166,0.526,0.783,-9.772
pythia-6.9b,wikidata_full_is_alive.pyth.128.2000,false,13,4783,0.518,0.782,-7.732
pythia-6.9b,wikidata_full_is_alive.pyth.128.2000,false,14,14740,0.496,0.775,-6.307
pythia-6.9b,wikidata_full_is_alive.pyth.128.2000,true,16,1880,0.536,0.784,-8.642
