model,dataset,feature,layer,neuron,test_mcc,test_f1_score,test_precision,test_recall,coef
pythia-70m,natural_lang_id.pyth.512.-1,de,0,1439,1.0,1.0,1.0,1.0,36.39742
pythia-70m,natural_lang_id.pyth.512.-1,de,1,1730,1.0,1.0,1.0,1.0,34.974503
pythia-70m,natural_lang_id.pyth.512.-1,sv,1,1895,1.0,1.0,1.0,1.0,37.431866
pythia-70m,natural_lang_id.pyth.512.-1,it,5,1804,1.0,1.0,1.0,1.0,30.590284
pythia-70m,natural_lang_id.pyth.512.-1,it,5,1856,1.0,1.0,1.0,1.0,9.4072895
pythia-70m,natural_lang_id.pyth.512.-1,it,5,2038,1.0,1.0,1.0,1.0,11.1447525
pythia-70m,natural_lang_id.pyth.512.-1,nl,3,723,1.0,1.0,1.0,1.0,19.209587
pythia-70m,natural_lang_id.pyth.512.-1,nl,3,1083,1.0,1.0,1.0,1.0,22.741058
pythia-70m,natural_lang_id.pyth.512.-1,nl,4,870,1.0,1.0,1.0,1.0,38.55966
pythia-70m,natural_lang_id.pyth.512.-1,nl,4,2047,1.0,1.0,1.0,1.0,13.881838
pythia-70m,natural_lang_id.pyth.512.-1,sv,1,883,1.0,1.0,1.0,1.0,29.617756
pythia-70m,natural_lang_id.pyth.512.-1,sv,1,1149,1.0,1.0,1.0,1.0,51.31575
pythia-70m,natural_lang_id.pyth.512.-1,sv,4,21,1.0,1.0,1.0,1.0,14.509701
pythia-70m,natural_lang_id.pyth.512.-1,it,5,1274,1.0,1.0,1.0,1.0,29.28503
pythia-70m,natural_lang_id.pyth.512.-1,sv,4,230,1.0,1.0,1.0,1.0,10.742738
pythia-70m,natural_lang_id.pyth.512.-1,sv,4,374,1.0,1.0,1.0,1.0,30.591133
pythia-70m,natural_lang_id.pyth.512.-1,sv,4,723,1.0,1.0,1.0,1.0,21.975437
pythia-70m,natural_lang_id.pyth.512.-1,it,5,1753,1.0,1.0,1.0,1.0,15.589892
pythia-70m,natural_lang_id.pyth.512.-1,it,5,1003,1.0,1.0,1.0,1.0,19.199158
pythia-70m,natural_lang_id.pyth.512.-1,it,2,1167,1.0,1.0,1.0,1.0,20.966831
pythia-70m,natural_lang_id.pyth.512.-1,fr,5,164,1.0,1.0,1.0,1.0,13.47739
pythia-70m,natural_lang_id.pyth.512.-1,fr,5,273,1.0,1.0,1.0,1.0,13.583013
pythia-70m,natural_lang_id.pyth.512.-1,fr,5,670,1.0,1.0,1.0,1.0,12.895436
pythia-70m,natural_lang_id.pyth.512.-1,fr,5,751,1.0,1.0,1.0,1.0,11.803505
pythia-70m,natural_lang_id.pyth.512.-1,fr,5,767,1.0,1.0,1.0,1.0,29.492075
pythia-70m,natural_lang_id.pyth.512.-1,fr,5,1209,1.0,1.0,1.0,1.0,16.725388
pythia-70m,natural_lang_id.pyth.512.-1,fr,5,1934,1.0,1.0,1.0,1.0,30.92523
pythia-70m,natural_lang_id.pyth.512.-1,it,2,632,1.0,1.0,1.0,1.0,40.70165
pythia-70m,natural_lang_id.pyth.512.-1,it,2,1153,1.0,1.0,1.0,1.0,28.102184
pythia-70m,natural_lang_id.pyth.512.-1,it,2,1325,1.0,1.0,1.0,1.0,31.735806
pythia-70m,natural_lang_id.pyth.512.-1,it,5,591,1.0,1.0,1.0,1.0,24.710733
pythia-70m,natural_lang_id.pyth.512.-1,it,3,533,1.0,1.0,1.0,1.0,11.42746
pythia-70m,natural_lang_id.pyth.512.-1,it,3,1224,1.0,1.0,1.0,1.0,17.662155
pythia-70m,natural_lang_id.pyth.512.-1,it,4,45,1.0,1.0,1.0,1.0,9.975465
pythia-70m,natural_lang_id.pyth.512.-1,it,4,627,1.0,1.0,1.0,1.0,6.572351
pythia-70m,natural_lang_id.pyth.512.-1,it,4,1270,1.0,1.0,1.0,1.0,19.714252
pythia-70m,natural_lang_id.pyth.512.-1,it,5,107,1.0,1.0,1.0,1.0,16.76137
pythia-70m,natural_lang_id.pyth.512.-1,it,5,181,1.0,1.0,1.0,1.0,17.154654
pythia-70m,natural_lang_id.pyth.512.-1,it,5,258,1.0,1.0,1.0,1.0,29.44325
pythia-70m,natural_lang_id.pyth.512.-1,it,5,436,1.0,1.0,1.0,1.0,19.984411
pythia-70m,natural_lang_id.pyth.512.-1,fr,5,8,1.0,1.0,1.0,1.0,17.116114
pythia-70m,natural_lang_id.pyth.512.-1,fr,4,1686,1.0,1.0,1.0,1.0,40.47356
pythia-70m,natural_lang_id.pyth.512.-1,fr,4,910,1.0,1.0,1.0,1.0,16.90113
pythia-70m,natural_lang_id.pyth.512.-1,el,0,943,1.0,1.0,1.0,1.0,39.60594
pythia-70m,natural_lang_id.pyth.512.-1,el,0,509,1.0,1.0,1.0,1.0,40.837223
pythia-70m,natural_lang_id.pyth.512.-1,el,0,518,1.0,1.0,1.0,1.0,39.06475
pythia-70m,natural_lang_id.pyth.512.-1,el,0,574,1.0,1.0,1.0,1.0,38.290543
pythia-70m,natural_lang_id.pyth.512.-1,el,0,585,1.0,1.0,1.0,1.0,32.695118
pythia-70m,natural_lang_id.pyth.512.-1,el,0,652,1.0,1.0,1.0,1.0,25.686277
