model,dataset,feature,layer,neuron,test_mcc,test_f1_score,test_precision,test_recall,coef
pythia-160m,compound_words.pyth.24.-1,prime-factors,1,2392,0.9959840091200889,0.9967497291440953,0.9935205183585313,1.0,8.258758
pythia-160m,ewt.pyth.512.-1,Gender_Masc,8,479,0.9909824441535088,0.9942528735632185,1.0,0.9885714285714285,5.6210384
pythia-160m,compound_words.pyth.24.-1,social-security,2,880,0.99098957035494,0.9927760577915377,0.985655737704918,1.0,10.384269
pythia-160m,ewt.pyth.512.-1,Gender_Neut,1,2545,0.9832076533782612,0.9916666666666667,0.9944289693593314,0.9889196675900277,-27.633266
pythia-160m,ewt.pyth.512.-1,Gender_Fem,5,99,0.9873063213321926,0.988826815642458,1.0,0.9779005524861878,7.951861
pythia-160m,compound_words.pyth.24.-1,blood-pressure,1,601,0.9811332282631159,0.984894259818731,0.9702380952380952,1.0,7.40047
pythia-160m,compound_words.pyth.24.-1,social-media,3,2347,0.979350773155441,0.9837940896091516,0.9735849056603774,0.9942196531791907,8.167716
pythia-160m,distribution_id.pyth.512.-1,uspto,7,319,0.9767844314685721,0.9796557120500782,0.990506329113924,0.9690402476780186,14.703184
pythia-160m,compound_words.pyth.24.-1,north-america,1,33,0.9698312186442014,0.9754010695187165,0.9539748953974896,0.9978118161925602,7.8169246
pythia-160m,ewt.pyth.512.-1,eos_True,9,2730,0.966541591736213,0.9732375979112271,0.9588424437299036,0.9880715705765407,6.978258
pythia-160m,distribution_id.pyth.512.-1,freelaw,8,252,0.9670891508404651,0.9726775956284154,0.9977578475336323,0.9488272921108742,18.299421
pythia-160m,compound_words.pyth.24.-1,high-school,1,1017,0.9647279050073813,0.9714285714285714,0.9444444444444444,1.0,6.387287
pythia-160m,compound_words.pyth.24.-1,side-effects,2,418,0.9646864661461422,0.971307120085016,0.9501039501039501,0.9934782608695653,5.0160966
pythia-160m,compound_words.pyth.24.-1,living-room,3,451,0.9546510073856874,0.9630434782608696,0.940552016985138,0.9866369710467706,7.284157
pythia-160m,compound_words.pyth.24.-1,human-rights,1,246,0.9484184100453665,0.9593956562795091,0.9355432780847146,0.9844961240310077,6.538414
pythia-160m,compound_words.pyth.24.-1,mental-health,1,1202,0.9482272379101402,0.9581589958158996,0.9346938775510204,0.9828326180257511,10.680516
pythia-160m,compound_words.pyth.24.-1,cell-lines,1,886,0.9383661955682125,0.9493670886075949,0.9090909090909091,0.9933774834437086,7.5405393
pythia-160m,compound_words.pyth.24.-1,trial-court,1,2492,0.9362852867052558,0.948905109489051,0.9362139917695473,0.9619450317124736,10.206216
pythia-160m,ewt.pyth.512.-1,Person_2,8,782,0.9308891063346326,0.9408528198074277,0.9293478260869565,0.9526462395543176,10.333487
pythia-160m,distribution_id.pyth.512.-1,arxiv,11,2718,0.924181063219603,0.9403122130394859,0.9588014981273408,0.9225225225225225,21.45335
pythia-160m,compound_words.pyth.24.-1,public-health,1,2530,0.9235850751204425,0.9383490073145245,0.9126016260162602,0.9655913978494624,8.073491
